Step,Temp,c_myFlux[1]
200,333.15975,-29.037383
205,297.38216,20.265167
210,297.64677,174.90647
215,335.98217,240.25968
220,338.04008,136.05232
225,305.71555,-32.983243
230,308.4221,-129.05107
235,334.17468,-120.58327
240,319.36275,-51.271775
245,287.329,7.4224064
250,299.46792,-14.321675
255,328.90972,-53.669756
260,321.41442,30.926847
265,307.33207,187.22385
270,330.93739,222.59932
275,354.25022,107.72109
280,336.37094,30.224694
285,317.30863,85.998396
290,331.38186,145.87282
295,339.86327,116.87746
300,320.78991,64.869375
305,315.01987,74.974079
310,339.69902,137.83401
315,352.42749,167.03375
320,337.32634,146.11685
325,332.86048,110.7327
330,349.0004,85.052356
335,351.14625,103.63906
340,333.02074,151.10073
345,327.50921,168.56769
350,342.19363,168.84373
355,346.21775,197.86852
360,332.77121,221.43013
365,329.90326,210.19238
370,339.6757,215.00673
375,335.99413,233.89979
380,321.9415,145.84756
385,320.36102,-8.748155
390,329.55998,-49.029438
395,327.79252,55.598435
400,313.33945,181.11908
405,307.60825,202.77899
410,311.30087,125.75771
415,307.0558,97.466875
420,299.61084,187.26952
425,304.21974,252.91494
430,316.21813,158.61717
435,317.23805,-16.60237
440,307.51198,-129.73798
445,304.54963,-119.46486
450,310.57874,-52.254635
455,310.80641,-56.510527
460,304.1289,-174.60475
465,303.41228,-244.01473
470,310.98584,-77.904882
475,315.11492,178.1172
480,312.51163,256.9821
485,315.23429,187.93288
490,323.63342,153.2144
495,327.39835,178.75206
500,323.45949,171.47925
505,319.3798,125.86566
510,323.75248,111.84155
515,329.47829,116.70199
520,327.39016,111.63968
525,322.93827,63.981581
530,325.85143,-36.268811
535,333.18929,-137.19013
540,337.19871,-161.92716
545,339.701,-84.141349
550,344.30315,-3.8937898
555,347.9649,-21.147457
560,348.85009,-99.10331
565,349.04086,-179.5985
570,348.21523,-242.71765
575,347.31109,-242.31675
580,346.01457,-150.82168
585,342.44588,-42.470535
590,339.8537,-18.904031
595,336.65063,-111.37745
600,332.83951,-168.52542
605,333.535,1.4752419
610,332.95455,246.71911
615,328.06394,255.67267
620,324.20814,45.019654
625,319.36444,-45.380444
630,315.33728,96.217483
635,314.29084,202.33836
640,315.22683,87.694806
645,319.46997,-69.451734
650,320.61614,-83.780608
655,317.15587,-1.5391607
660,316.46724,61.200815
665,319.8654,77.475561
670,318.91803,82.759111
675,311.89553,44.302528
680,311.09763,-10.733734
685,316.02176,82.065258
690,316.55867,267.68749
695,315.15349,277.14258
700,318.83873,107.17531
705,326.61374,-32.24763
710,330.05557,-63.200082
715,328.09003,-25.955708
720,329.87514,-9.9312162
725,333.93773,-85.505509
730,332.00869,-203.84493
735,332.13195,-216.70845
740,340.59924,-90.451093
745,344.74507,22.51465
750,339.97603,21.434933
755,337.84457,-30.824904
760,341.37495,-11.967591
765,342.46394,40.479899
770,341.0674,15.178454
775,342.15747,-55.080505
780,344.38226,-57.129556
785,342.37188,40.924366
790,336.93965,141.72591
795,334.4628,121.19465
800,336.34665,16.774757
805,335.73465,24.351234
810,327.67727,209.95837
815,321.32294,353.67144
820,320.60705,282.32281
825,317.94497,161.34652
830,313.35009,170.90937
835,314.06572,245.26969
840,319.29597,278.46599
845,320.12797,279.58054
850,316.00706,325.05887
855,313.96273,368.45627
860,315.6,277.33309
865,312.86523,122.5408
870,306.47702,180.60219
875,304.14765,375.93795
880,305.23855,325.02306
